工程师学校名称,高考BAC录取均分,学校评分网址
CentraleSupélec,17.48/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html#classement-des-ecoles-d-ingenieurs
Télécom Paris,17.03/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/telecom-paris.html#classement-des-ecoles-d-ingenieurs
École des mines - Nancy,17.53/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html#classement-des-ecoles-d-ingenieurs
École centrale - Lyon,16.93/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-lyon-6367.html#classement-des-ecoles-d-ingenieurs
École des mines - Saint-Étienne,17.1/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-saint-etienne-5070.html#classement-des-ecoles-d-ingenieurs
École des ponts ParisTech - Marne-la-vallée,17.66/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-des-ponts-paristech-7222.html#classement-des-ecoles-d-ingenieurs
ENSAE Paris,17.5/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-de-la-statistique-et-de-l-administration-economique-7779.html#classement-des-ecoles-d-ingenieurs
INSA Lyon,17.9/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-national-des-sciences-appliquees-de-lyon-6360.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Ensimag,16.41/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-informatique-et-de-mathematiques-appliquees-4947.html#classement-des-ecoles-d-ingenieurs
IMT Mines Alès,16.04/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-d-ales-4353.html#classement-des-ecoles-d-ingenieurs
ISAE-SUPAERO - Toulouse,17.27/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-superieur-de-l-aeronautique-et-de-l-espace-4438.html#classement-des-ecoles-d-ingenieurs
ENSEEIHT - INP Toulouse,16.98/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-electrotechnique-d-electronique-d-informatique-d-hydr-4492.html#classement-des-ecoles-d-ingenieurs
ENSCM - Chimie Montpellier,17.01/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-chimie-de-montpellier-4685.html#classement-des-ecoles-d-ingenieurs
ESIEE Paris - Marne-la-Vallée,14.42/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-esiee-paris-7878.html#classement-des-ecoles-d-ingenieurs
ESILV - Paris-La Défense,16.5/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-ingenieurs-leonard-de-vinci-7776.html#classement-des-ecoles-d-ingenieurs
